sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;combination;seq_order;paced;instruct;run;block
6;fmri;1;1 2 3 4;type1;2 3 - 1 - 1 2 3 4 - 2 - 3 4;trained;#46f0f0;[('trained', 1), ('trained', 2), ('untrained', 0), ('untrained', 3)];1;1;1;1;1
6;fmri;1;1 2 3 4;type1;2 - 1 2 3 4 - 1 - 2 4 - 1 2 3;trained;#f58231;[('trained', 1), ('trained', 2), ('untrained', 0), ('untrained', 3)];1;1;0;1;1
6;fmri;1;1 2 3 4;type1;1 2 3 - 3 4 - 2 - 1 4 - 3;untrained;#3cb44b;[('trained', 1), ('trained', 2), ('untrained', 0), ('untrained', 3)];1;1;0;1;1
6;fmri;1;1 2 3 4;type1;2 3 4 - 1 2 - 4 - 1 3 - 2;untrained;#0082c8;[('trained', 1), ('trained', 2), ('untrained', 0), ('untrained', 3)];1;1;0;1;1
6;fmri;1;1 2 3 4;type1;2 - 1 2 3 4 - 1 - 2 4 - 1 2 3;trained;#f58231;[('trained', 2), ('untrained', 3), ('trained', 1), ('untrained', 0)];1;1;0;1;2
6;fmri;1;1 2 3 4;type1;2 3 4 - 1 2 - 4 - 1 3 - 2;untrained;#0082c8;[('trained', 2), ('untrained', 3), ('trained', 1), ('untrained', 0)];1;1;0;1;2
6;fmri;1;1 2 3 4;type1;2 3 - 1 - 1 2 3 4 - 2 - 3 4;trained;#46f0f0;[('trained', 2), ('untrained', 3), ('trained', 1), ('untrained', 0)];1;1;0;1;2
6;fmri;1;1 2 3 4;type1;1 2 3 - 3 4 - 2 - 1 4 - 3;untrained;#3cb44b;[('trained', 2), ('untrained', 3), ('trained', 1), ('untrained', 0)];1;1;0;1;2
6;fmri;1;1 2 3 4;type1;2 3 4 - 1 2 - 4 - 1 3 - 2;untrained;#0082c8;[('untrained', 3), ('untrained', 0), ('trained', 1), ('trained', 2)];1;1;0;1;3
6;fmri;1;1 2 3 4;type1;1 2 3 - 3 4 - 2 - 1 4 - 3;untrained;#3cb44b;[('untrained', 3), ('untrained', 0), ('trained', 1), ('trained', 2)];1;1;0;1;3
6;fmri;1;1 2 3 4;type1;2 3 - 1 - 1 2 3 4 - 2 - 3 4;trained;#46f0f0;[('untrained', 3), ('untrained', 0), ('trained', 1), ('trained', 2)];1;1;0;1;3
6;fmri;1;1 2 3 4;type1;2 - 1 2 3 4 - 1 - 2 4 - 1 2 3;trained;#f58231;[('untrained', 3), ('untrained', 0), ('trained', 1), ('trained', 2)];1;1;0;1;3
6;fmri;1;1 2 3 4;type1;2 3 4 - 1 2 - 4 - 1 3 - 2;untrained;#0082c8;[('untrained', 3), ('trained', 1), ('trained', 2), ('untrained', 0)];1;1;0;1;4
6;fmri;1;1 2 3 4;type1;2 3 - 1 - 1 2 3 4 - 2 - 3 4;trained;#46f0f0;[('untrained', 3), ('trained', 1), ('trained', 2), ('untrained', 0)];1;1;0;1;4
6;fmri;1;1 2 3 4;type1;2 - 1 2 3 4 - 1 - 2 4 - 1 2 3;trained;#f58231;[('untrained', 3), ('trained', 1), ('trained', 2), ('untrained', 0)];1;1;0;1;4
6;fmri;1;1 2 3 4;type1;1 2 3 - 3 4 - 2 - 1 4 - 3;untrained;#3cb44b;[('untrained', 3), ('trained', 1), ('trained', 2), ('untrained', 0)];1;1;0;1;4
6;fmri;1;1 2 3 4;type1;2 3 - 1 - 1 2 3 4 - 2 - 3 4;trained;#46f0f0;[('trained', 1), ('trained', 2), ('untrained', 0), ('untrained', 3)];1;1;0;1;5
6;fmri;1;1 2 3 4;type1;2 - 1 2 3 4 - 1 - 2 4 - 1 2 3;trained;#f58231;[('trained', 1), ('trained', 2), ('untrained', 0), ('untrained', 3)];1;1;0;1;5
6;fmri;1;1 2 3 4;type1;1 2 3 - 3 4 - 2 - 1 4 - 3;untrained;#3cb44b;[('trained', 1), ('trained', 2), ('untrained', 0), ('untrained', 3)];1;1;0;1;5
