sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;combination;seq_order;paced;instruct;run;block
6;fmri;3;1 2 3 4;type1;1 3 - 4 - 1 2 3 4 - 1 - 3 4;untrained;#0082c8;[('untrained', 3), ('untrained', 1), ('trained', 1), ('trained', 2)];0;1;0;4;3
6;fmri;3;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#f032e6;[('untrained', 3), ('untrained', 1), ('trained', 1), ('trained', 2)];0;1;0;4;3
6;fmri;3;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#f58231;[('untrained', 3), ('untrained', 1), ('trained', 1), ('trained', 2)];0;1;0;4;3
12;fmri;2;1 2 3 4;type1;1 2 - 3 - 1 2 3 4 - 4 - 1 3;untrained;#46f0f0;[('untrained', 0), ('trained', 2), ('untrained', 4), ('trained', 1)];2;1;1;1;1
12;fmri;2;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#f58231;[('untrained', 0), ('trained', 2), ('untrained', 4), ('trained', 1)];2;1;0;1;1
12;fmri;2;1 2 3 4;type1;2 4 - 3 - 1 2 - 2 3 4 - 1 3;untrained;#3cb44b;[('untrained', 0), ('trained', 2), ('untrained', 4), ('trained', 1)];2;1;0;1;1
12;fmri;2;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#f032e6;[('untrained', 0), ('trained', 2), ('untrained', 4), ('trained', 1)];2;1;0;1;1
12;fmri;2;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#f032e6;[('trained', 1), ('untrained', 4), ('untrained', 0), ('trained', 2)];2;1;0;1;2
12;fmri;2;1 2 3 4;type1;2 4 - 3 - 1 2 - 2 3 4 - 1 3;untrained;#3cb44b;[('trained', 1), ('untrained', 4), ('untrained', 0), ('trained', 2)];2;1;0;1;2
12;fmri;2;1 2 3 4;type1;1 2 - 3 - 1 2 3 4 - 4 - 1 3;untrained;#46f0f0;[('trained', 1), ('untrained', 4), ('untrained', 0), ('trained', 2)];2;1;0;1;2
12;fmri;2;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#f58231;[('trained', 1), ('untrained', 4), ('untrained', 0), ('trained', 2)];2;1;0;1;2
12;fmri;3;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#f032e6;[('trained', 1), ('trained', 2), ('untrained', 4), ('untrained', 0)];2;1;0;1;3
12;fmri;3;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#f58231;[('trained', 1), ('trained', 2), ('untrained', 4), ('untrained', 0)];2;1;0;1;3
12;fmri;3;1 2 3 4;type1;2 4 - 3 - 1 2 - 2 3 4 - 1 3;untrained;#3cb44b;[('trained', 1), ('trained', 2), ('untrained', 4), ('untrained', 0)];2;1;0;1;3
