sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;seq_permutation;seq_order
18;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[0, 1, 2];1
18;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[0, 1, 2];2
19;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[0, 2, 1];0
19;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[0, 2, 1];2
19;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[0, 2, 1];1
20;testing;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[1, 0, 2];1
20;testing;20;1 2 3 4;type1;2 - 3 4 - 1 2 3 - 2 4 - 3;untrained;#ffe119;[1, 0, 2];4
20;testing;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[1, 0, 2];0
20;testing;20;1 2 3 4;type1;4 - 2 3 - 1 2 4 - 3 4 - 1;untrained;#0082c8;[1, 0, 2];3
20;testing;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[1, 0, 2];2
20;testing;20;1 2 3 4;type1;2 - 1 4 - 2 3 4 - 1 3 - 4;untrained;#e6194b;[1, 0, 2];5
