SEQ_TYPE;SEQ_LENGTH;MAX_CHORD_SIZE;SEQ_KEYS;N_TRIALS;N_SEQS;N_SESS
type1;4;2;"1 2 3 4";20;4;10
type2;5;3;"1 2 3 4";20;4;10
