sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;true_sequence;obs_sequence;accuracy;score;cumulative_trial;trial;trial_type;keystroke;key_from;key_to;RT
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 - 1 - 3;0;0.5919706194;7;2;done;0;0;4;1904.007
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 - 1 - 3;0;0.5919706194;7;2;done;1;4;1 3;14.363
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 - 1 - 3;0;0.5919706194;7;2;done;2;1 3;1;728.288
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 - 1 - 3;0;0.5919706194;7;2;done;3;1;1;923.943
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 - 1 - 3;0;0.5919706194;7;2;done;4;1;3;22.679
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 3 - 1 - 1 3 - 1 2;0.2;0.5578219186;8;2;done;0;0;1 4;2040.357
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 3 - 1 - 1 3 - 1 2;0.2;0.5578219186;8;2;done;1;1 4;3;14.762
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 3 - 1 - 1 3 - 1 2;0.2;0.5578219186;8;2;done;2;3;1;609.338
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 3 - 1 - 1 3 - 1 2;0.2;0.5578219186;8;2;done;3;1;1 3;771.607
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 3 - 1 - 1 3 - 1 2;0.2;0.5578219186;8;2;done;4;1 3;1 2;396.98
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4448253087;9;2;done;0;0;1 3 4;1578.135
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4448253087;9;2;done;1;1 3 4;1;755.552
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4448253087;9;2;done;2;1;1 3;776.305
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4448253087;9;2;done;3;1 3;1 2;388.412
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4448253087;9;2;done;4;1 2;2 3;327.804
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4566575579;10;2;done;0;0;1 3 4;929.204
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4566575579;10;2;done;1;1 3 4;1;495.578
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4566575579;10;2;done;2;1;1 3;618.597
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4566575579;10;2;done;3;1 3;1 2;492.329
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;0.4566575579;10;2;done;4;1 2;2 3;583.321
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.8;0.4887482449;11;2;done;0;0;1 4;1210.514
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.8;0.4887482449;11;2;done;1;1 4;1;535.236
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.8;0.4887482449;11;2;done;2;1;1 2;548.853
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.8;0.4887482449;11;2;done;3;1 2;1 3;490.3
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.8;0.4887482449;11;2;done;4;1 3;2 3;471.654
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 2 3 - 2 3;0.8;0.3876184951;12;2;done;0;0;1 3 4;984.147
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 2 3 - 2 3;0.8;0.3876184951;12;2;done;1;1 3 4;1;508.134
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 2 3 - 2 3;0.8;0.3876184951;12;2;done;2;1;1 2;573.126
1;2018-03-04;11:02:32.381000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 2 3 - 2 3;0.8;0.3876184951;12;2;done;3;1 2;1 2 3;541.035
