sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;true_sequence;obs_sequence;accuracy;score;cumulative_trial;trial;trial_type;keystroke;key_from;key_to;RT
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76455721865182513;6;5;done;2;1;1 2;324.225
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76455721865182513;6;5;done;3;1 2;1 3;358.890
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76455721865182513;6;5;done;4;1 3;2 3;335.772
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 1 3;0.59999999999999998;0;7;5;done;0;0;1 3 4;462.328
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 1 3;0.59999999999999998;0;7;5;done;1;1 3 4;1;313.199
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 1 3;0.59999999999999998;0;7;5;done;2;1;1 2;313.670
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 1 3;0.59999999999999998;0;7;5;done;3;1 2;2 3;322.650
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 1 3;0.59999999999999998;0;7;5;done;4;2 3;1 3;358.913
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68362527505533655;8;6;done;0;0;1 3 4;409.334
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68362527505533655;8;6;done;1;1 3 4;1;394.691
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68362527505533655;8;6;done;2;1;1 2;391.241
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68362527505533655;8;6;done;3;1 2;1 3;370.724
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68362527505533655;8;6;done;4;1 3;2 3;306.134
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 2 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;9;6;done;0;0;1 3 4;523.591
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 2 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;9;6;done;1;1 3 4;1 2;348.667
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 2 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;9;6;done;2;1 2;1 2;798.508
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 2 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;9;6;done;3;1 2;1 3;327.671
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 2 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;9;6;done;4;1 3;2 3;348.308
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.72074864383645099;10;7;done;0;0;1 3 4;465.456
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.72074864383645099;10;7;done;1;1 3 4;1;337.808
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.72074864383645099;10;7;done;2;1;1 2;357.675
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.72074864383645099;10;7;done;3;1 2;1 3;350.698
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.72074864383645099;10;7;done;4;1 3;2 3;341.264
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.81875341098779042;11;8;done;0;0;1 3 4;379.215
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.81875341098779042;11;8;done;1;1 3 4;1;359.220
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.81875341098779042;11;8;done;2;1;1 2;313.515
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.81875341098779042;11;8;done;3;1 2;1 3;271.556
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.81875341098779042;11;8;done;4;1 3;2 3;277.079
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;12;8;done;0;0;1 3 4;330.507
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;12;8;done;1;1 3 4;1;282.117
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;12;8;done;2;1;1 2;274.529
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;12;8;done;3;1 2;1 3;291.405
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;12;8;done;4;1 3;2 3 4;285.990
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 2 3;0.80000000000000004;0;13;8;done;0;0;1 3 4;474.336
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 2 3;0.80000000000000004;0;13;8;done;1;1 3 4;1;296.885
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 2 3;0.80000000000000004;0;13;8;done;2;1;1 2;288.161
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 2 3;0.80000000000000004;0;13;8;done;3;1 2;2 3;309.988
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 2 3;0.80000000000000004;0;13;8;done;4;2 3;2 3;313.521
