sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;trial_type;true_sequence;obs_sequence;accuracy;RT;MT;score
1;2018-03-04;11:02:32.381000;type1;training;train;1;1;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 - 4 - 3 - 4;0.2;-199.835;2707.007;0.369
1;2018-03-04;11:02:32.381000;type1;training;train;2;1;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 3 - 4 - 1 3 - 2;0.2;-199.377;3564.26;0.281
1;2018-03-04;11:02:32.381000;type1;training;train;3;1;missed;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;0;0;4000;0;0
1;2018-03-04;11:02:32.381000;type1;training;train;4;1;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1 2 3 3 4 - 3 4 - 1 2 3 - 4 - 1 3;0.2;-198.356;3722.794;0.269
1;2018-03-04;11:02:32.381000;type1;training;train;5;2;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1565.089;2129.209;0.47
1;2018-03-04;11:02:32.381000;type1;training;train;6;3;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1193.911;2275.565;0.439
1;2018-03-04;11:02:32.381000;type1;training;train;7;3;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 3 - 1 2 - 1 3 4 - 2 3 4;0.2;1793.962;2189.699;0.457
1;2018-03-04;11:02:32.381000;type1;training;train;8;4;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1552.2;2346.669;0.426
1;2018-03-04;11:02:32.381000;type1;training;train;9;4;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1 4 - 3 - 3 - 1 2 - 3 4;0;1405.03;2534.728;0.395
1;2018-03-04;11:02:32.381000;type1;training;train;10;5;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1337.227;2619.049;0.382
1;2018-03-04;11:02:32.381000;type1;training;train;11;6;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1137.376;1934.714;0.517
1;2018-03-04;11:02:32.381000;type1;training;train;12;7;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1112.608;1935.553;0.517
1;2018-03-04;11:02:32.381000;type1;training;train;13;7;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 3 4 - 4 - 1 4;0.8;1169.743;2288.158;0.437
1;2018-03-04;11:02:32.381000;type1;training;train;14;8;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1024.888;2171.384;0.461
1;2018-03-04;11:02:32.381000;type1;training;train;15;9;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;814.916;2008.641;0.498
1;2018-03-04;11:02:32.381000;type1;training;train;16;9;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 4 - 4 - 1 4;0.8;1372.921;2030.644;0.492
1;2018-03-04;11:02:32.381000;type1;training;train;17;10;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1295.414;1667.856;0.6
1;2018-03-04;11:02:32.381000;type1;training;train;18;10;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 3 4 - 1 4 - 1 4;0.6;981.385;2180.571;0.459
1;2018-03-04;11:02:32.381000;type1;training;train;19;11;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1325.162;1859.931;0.538
2;2018-03-04;17:36:25.953000;type1;training;train;1;1;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 3 - 1 - 2 - 1;0;-200.202;361.551;2.766
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;2;1;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 1 4 - 1 3 4 - 1 - 1 2 - 1 2 3 3;0;-199.795;3195.539;0.313
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;3;1;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;3 - 1 4 - 1 - 1 2 - 1 3;0;1184.277;2761.682;0.362
