sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;1;2;1 4;707.152
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;2;1 4;2;548.565
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;3;2;1;506.219
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;4;1;1 4;500.831
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;0;0;2;973.740
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;1;2;1 4;751.109
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;2;1 4;2;580.705
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;3;2;1;612.132
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;4;1;1 4;484.546
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;0;0;2;940.917
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;1;2;1 4;800.900
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;2;1 4;2;452.314
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;3;2;1;524.189
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;4;1;1 4;440.601
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;4;0;0;2;723.387
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;4;1;2;1 4;528.043
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;4;2;1 4;2;435.179
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;4;3;2;1;410.722
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;4;4;1;1 4;458.038
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;6;5;0;0;2;680.978
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;6;5;1;2;1 2 4;485.432
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;6;5;2;1 2 4;2;977.940
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;6;5;3;2;1;559.723
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;6;5;4;1;1 4;434.280
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;7;5;0;0;2;874.316
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;7;5;1;2;1 4;761.532
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;7;5;2;1 4;2;512.030
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;7;5;3;2;1;425.674
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;7;5;4;1;1 4;463.364
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;0;0;2;1320.667
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;1;2;4;778.567
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;2;4;4;791.183
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;3;4;3;1013.986
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;4;3;2;8.961
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;1;0;0;2;1286.674
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;1;1;2;4;825.535
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;1;2;4;4;775.289
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;1;3;4;3;741.518
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;1;4;3;2;9.295
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;1;0;0;2;916.412
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;1;1;2;1 4;601.987
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;1;2;1 4;4;864.264
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;1;3;4;2 3;737.794
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;1;4;2 3;1 4;724.460
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;1;0;0;2;868.158
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;1;1;2;4;530.752
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;1;2;4;4;487.405
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;1;3;4;2 3;549.993
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;1;4;2 3;1 4;690.895
