sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;5;0;0;2;749.786
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;5;1;2;1 4;291.880
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;5;2;1 4;2;335.537
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;5;3;2;1;333.780
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;5;4;1;1 4;266.189
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;0;0;2;1753.593
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;1;2;4;338.243
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;2;4;4;394.418
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;3;4;2 3;411.591
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;1;1;4;2 3;1 4;378.320
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;2;0;0;2;754.607
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;2;1;2;4;404.466
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;2;2;4;4;262.392
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;2;3;4;2 3;367.524
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;2;2;4;2 3;1 4;305.958
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;3;0;0;2;769.642
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;3;1;2;4;302.664
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;3;2;4;4;259.971
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;3;3;4;2 3;280.969
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;3;3;4;2 3;1 4;343.117
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;4;0;0;2;790.099
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;4;1;2;4;310.969
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;4;2;4;4;296.991
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;4;3;4;2 3;342.942
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;4;4;4;2 3;1 4;298.766
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;5;0;0;2;917.853
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;5;1;2;4;279.383
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;5;2;4;4;280.494
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;5;3;4;2 3;273.430
1;2018-02-28;09:33:54.772000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;5;4;2 3;1 4;273.127
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;0;0;4;1874.660
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;1;4;3;10.653
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;2;3;1 3;1478.512
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;3;1 3;4;408.914
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;4;4;3;94.271
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;0;0;4;2039.100
