sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;true_sequence;obs_sequence;accuracy;RT;MT;score
2;2018-02-28;09:37:52.737000;type1;training;train;5;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 2 - 4;0.59999999999999998;601.732;1176.725;0.850
2;2018-02-28;09:37:52.737000;type1;training;train;6;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 2 - 1;0.59999999999999998;578.984;1747.889;0.572
2;2018-02-28;09:37:52.737000;type1;training;train;7;6;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;569.296;993.305;1.007
2;2018-02-28;09:37:52.737000;type1;training;train;1;2;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;1179.841;1167.235;0.857
2;2018-02-28;09:37:52.737000;type1;training;train;2;3;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;862.408;838.809;1.192
2;2018-02-28;09:37:52.737000;type1;training;train;3;4;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;822.617;823.275;1.215
2;2018-02-28;09:37:52.737000;type1;training;train;4;5;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;639.470;846.759;1.181
2;2018-02-28;09:37:52.737000;type1;training;train;5;5;2 - 4 - 4 - 2 3 - 1 4;2 - 4 4 - 3 - 2 - 1 4;0.40000000000000002;496.254;1040.962;0.961
2;2018-02-28;09:37:52.737000;type1;training;train;6;6;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;835.417;877.981;1.139
2;2018-02-28;09:37:52.737000;type1;training;train;1;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;1512.513;2466.354;0.405
2;2018-02-28;09:37:52.737000;type1;training;train;2;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 2 3 4 - 2 - 2;0.80000000000000004;1229.637;1748.607;0.572
2;2018-02-28;09:37:52.737000;type1;training;train;3;3;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;950.284;1323.396;0.756
