SUBJECT;SCHEDULE_FILE;SCHEDULE_GROUP;FMRI_SCHEDULE_FILE
lup1s001;lup1schedule1_0;0;lup1schedule1_0_fmri
lup1s001;lup1schedule1_1;1;lup1schedule1_1_fmri
