SUBJECT;SCHEDULE_FILE;SCHEDULE_GROUP
kip0s001;kip0schedule1_0;0
kip0s002;kip0schedule1_0;0
kip0s003;kip0schedule1_0;0
kip0s004;kip0schedule1_1;1
kip0s005;kip0schedule1_1;1
kip0s006;kip0schedule1_1;1
